Name,Latitude,Longitude,Platform / Entrance,Collected By,Collected On,Line,Step free,
Waterloo,51.50322,-0.11328,"W+C / Bakerloo / Northern Line entrance, platform 18",User:Mattwestcott,15/03/07,"Bakerloo, Northern, Waterloo & City",Unsure ( JLE-Eurostar was built as step-free?),
Watford,51.65741058,-0.41745306,Platform,User:Firefishy,05/05/07,Metropolitan,Yes ( Flat access from street IIRC),
Wembley Central,51.55122817,-0.29577538,Platform,User:Firefishy,05/05/07,Bakerloo,,
Wembley Park,51.56355598,-0.279770242,Platform,User:Firefishy,05/05/07,"Jubilee, Metropolitan",Unsure (Did have steps to/from platform?),
West Acton,51.51818,-0.28064,Platform,User:Mattwestcott,27/01/07,Central,,
West Brompton,51.48681,-0.19475,Platform,User:Mattwestcott,18/05/07,District,,
West Finchley,51.60922281219,-0.188711152265457,Platform,User:Welshie,27/09/06,Northern,,
West Ham,51.527917,0.004141,Platform,User:Mattwestcott,04/11/06,"District, Hammersmith & City, Jubilee",,
West Hampstead,51.54678865,-0.191016868,Jubilee Line Entrance,User:Firefishy,08/05/07,Jubilee,,
West Hampstead,51.54657,-0.19055,Jubilee Line platform,User:Mattwestcott,06/05/07,Jubilee,,
West Hampstead,51.54755518,-0.190999685,NLL Entrance,User:Firefishy,08/05/07,London Overground,,
West Hampstead,51.54716,-0.19275,London Overground platform,User:Morwen,05/05/07,London Overground,,
West Harrow,51.5795432,-0.353144584,Platform,User:Firefishy,05/05/07,Metropolitan,,
West Kensington,51.49085,-0.20532,Platform,User:Gagravarr,24/11/06,District,,
West Ruislip,51.569324,-0.43674,Platform,User:Firefishy,18/02/07,Central,,
Westbourne Park,51.520995,-0.201778,Platform,User:Gagravarr,07/04/07,Hammersmith & City,,
Westminster,51.50121,-0.12489,Portcullis House exit,User:Morwen,08/05/07,"Circle, District, Jubilee",Unsure (Escalators),
White City,51.512206,-0.224226,Platform,User:Firefishy,21/10/06,Central,,
Whitechapel,51.51946,-0.05951,Exit,User:Morwen,07/05/07,"District, East London, Hammersmith & City",,
Willesden Green,51.54919,-0.22106,Between entrances,User:AcousticNewt,25/11/06,Jubilee,,
Willesden Junction,51.53181,-0.24235,London Overground platforms,User:Morwen,05/05/07,London Overground,,
Willesden Junction,51.53032031,-0.229378995,Platform (Bakerloo),User:Firefishy,05/05/07,Bakerloo,,
Wimbledon,51.422,-0.20544,Platform,User:Mattwestcott,18/05/07,District,Unsure,
Wimbledon Park,51.43391,-0.19864,Platform,User:Mattwestcott,18/05/07,District,,
Wood Green,51.59709,-0.10939,Entrance,User:Morwen,26/05/07,Piccadilly,No (Escalators),
Woodford,51.60582,0.03328,platforms,User:Morwen,21/04/07,Central,,
Woodside Park,51.6181717295887,-0.185578887883903,Platform,User:Welshie,27/09/06,Northern,,
