Name,Latitude,Longitude,Platform / Entrance,Collected By,Collected On,Line,Step free,
Dagenham East,51.54396,0.16439,platforms,User:Morwen,21/04/07,District,,
Dagenham Heathway,51.54173,0.14543,platforms,User:Morwen,21/04/07,District,,
Dalston Kingsland,51.54832,-0.07879,mainline platforms,Morwen,07/03/07,London Overground,,
Debden,51.64535,0.08364,platforms,User:Morwen,21/04/07,Central,,
Dollis Hill,51.5525,-0.23884,Entrance,User:AcousticNewt,25/11/06,Jubilee,,
Ealing Broadway,51.51482,-0.30118,Platform,User:Mattwestcott,27/01/07,"Central, District",,
Ealing Common,51.50997,-0.28825,Platform,User:Mattwestcott,28/01/07,"District, Piccadilly",,
Earl's Court,51.491521,-0.193906,Platform,User:Gagravarr,24/11/06,"District, Piccadilly",,
East Acton,51.51753,-0.24827,Platform,User:Mattwestcott,27/01/07,Central,,
East Finchley,51.5872974705487,-0.16495632312818,southbound platform,User:Welshie,27/09/06,Northern,,
East Ham,51.53931,0.0526,platforms,User:Morwen,21/04/07,"District, Hammersmith & City",,
East Putney,51.459015,-0.211138,Entrance,User:Randomjunk,30/11/06,District,,
Eastcote,51.57676,-0.39629,Platform,User:Mattwestcott,28/01/07,"Metropolitan, Piccadilly",,
Edgware,51.61385,-0.27515,Platform,User:Mattwestcott,06/05/07,Northern,No (Stairs from Booking Hall to platforms),
Edgware Road (Bakerloo Line),51.51956,-0.169068,Entrance,User:Gagravarr,24/11/06,Bakerloo,No (Escalator to platforms),
Edgware Road (Circle Line),51.520195,-0.166986,Platform,User:Gagravarr,24/11/06,"Circle, District, Hammersmith & City",No (Stairs between platform and Booking hall),
Elephant & Castle,51.49467,-0.10047,Entrance,User:Parsingphase,-2006,"Bakerloo, Northern",,
Elm Park,51.54969,0.19779,platforms,User:Morwen,21/04/07,District,,
Embankment,51.50717,-0.12195,outside Thames Embankment exit,User:Morwen,08/05/07,"Bakerloo, Circle, District, Northern",,
Epping,51.69365,0.11495,platforms,User:Morwen,21/04/07,Central,,
Euston,51.52774,-0.13303,??,User:Steve,11/02/06,Northern,Unsure (Escalators to mainline station),
Euston Square,51.52584,-0.1357,??,User:Steve,11/02/06,"Circle, Hammersmith & City, Metropolitan",No (Stairs from platform level),
Fairlop,51.59634,0.09125,platforms,User:Morwen,21/04/07,Central,,
Farringdon,51.520362948,-0.105126482,C/H+C/M Platform,User:Gagravarr,05/08/06,"Circle, Hammersmith & City, Metropolitan",No (Stairs from platform level),
Farringdon,51.520086,-0.104789,Entrance,User:Firefishy,18/10/06,"Circle, Hammersmith & City, Metropolitan",No (Stairs to/from platform level),
Finchley Central,51.60102,-0.1924,??,User:Steve,10/02/06,Northern,,
Finchley Road,51.546701,-0.179867,Platform,User:Gagravarr,10/10/06,"Jubilee, Metropolitan",No (Steps to/from platform level),
Finchley Road and Frognal,51.54994,-0.18412,London Overground platforms,User:Morwen,05/05/07,London Overground,,
Finsbury Park,51.56498,-0.10543,"in bus station, near mainline entrance end",User:Morwen,05/05/07,"Piccadilly, Victoria",No (Steps at subsurface level),
Fulham Broadway,51.48033,-0.19488,Platform,User:Mattwestcott,18/05/07,District,Unsure,
Gants Hill,51.57649,0.06637,Entrance Hall,User:Firefishy,15/08/07,Central,,
Gloucester Road,51.49408266,-0.17295341,C/D platform,User:Gagravarr,08/09/06,"Circle, District, Piccadilly",,
Golders Green,51.57249,-0.1941,Platform,User:Mattwestcott,06/05/07,Northern,,
Goldhawk Road,51.501248,-0.226776,Platform,User:Gagravarr,07/04/07,Hammersmith & City,,
Goodge Street,51.5206,-0.13441,??,User:Steve,10/02/06,Northern,Unsure ( Certainly has lifts),
Gospel Oak,51.55597,-0.15228,London Overground platforms,User:Morwen,05/05/07,London Overground,,
Grange Hill,51.61326,0.09258,platforms,User:Morwen,21/04/07,Central,,
Great Portland Street,51.52391,-0.14397,??,User:Steve,11/02/06,"Circle, Hammersmith & City, Metropolitan",No (Steps to/from platform level),
Greenford,51.542346,-0.345903,Platform,User:Firefishy,18/02/07,Central,,
Gunnersbury,51.49126844,-0.275554312,Platform,User:Firefishy,08/05/07,District,,
Green Park,51.50674,-0.14276,Entrance (south side of Piccadilly),User:Kake,2007-04-12,"Jubilee, Piccadilly, Victoria",Unsure ( Certainly escalators at subsurface),
Hackney Central,51.54689,-0.05784,mainline platforms,Morwen,07/03/07,London Overground,,
Hackney Wick,51.54348,-0.02474,mainline platforms,Morwen,07/03/07,London Overground,,
Hainault,51.60288,0.09332,platforms,User:Morwen,21/04/07,Central,,
Hammersmith (Dist&Picc Line),51.492328,-0.222825,Platform,User:Gagravarr,24/11/06,"District, Piccadilly",,
Hammersmith (H&C Line),51.494190748,-0.225964953,H+C Platform,User:Gagravarr,02/04/06,Hammersmith & City,,
Hampstead,51.55645,-0.17851,Entrance,User:Mattwestcott,06/05/07,Northern,Unsure (Has lifts),
Hampstead Heath,51.55533,-0.16656,London Overground platforms,User:Morwen,05/05/07,London Overground,,
Hanger Lane,51.53,-0.2929,Entrance,User:Kake,2007-03-03,Central,,
Harlesden,51.53628278,-0.257622488,Platform,User:Firefishy,05/05/07,Bakerloo,,
Harrow & Wealdstone,51.59205973,-0.334725352,Platform,User:Firefishy,05/05/07,Bakerloo,,
Harrow-on-the-Hill,51.579335,-0.337052,Entrance Hall,User:Firefishy,18/10/06,Metropolitan,Steps (from street) and (to/from Platforms),
Hatton Cross,51.466988,-0.423035,Entrance,User:Gagravarr,24/11/06,Piccadilly,,
Heathrow Terminals 1-2-3,51.4712899,-0.4527438,Central Bus Station Entrance,User:Gagravarr,28/02/07,Piccadilly,,
Heathrow Terminal 4,51.4594777,-0.44689658,Terminal Entrance,User:Gagravarr,28/02/07,Piccadilly,,
Hendon Central,51.58346,-0.22653,Platform,User:Mattwestcott,06/05/07,Northern,,
High Barnet,51.6506519031751,-0.194138165994553,Platform 2,User:Simon,27/09/06,Northern,,
High Street Kensington,51.5003459144,-0.192351664,Entrance,User:Gagravarr,30/07/06,"Circle, District",No ( Steps to/from platform),
Highbury & Islington,51.54502,-0.10752,mainline platforms,Morwen,07/03/07,"London Overground, Victoria, Northern City",,
Highgate,51.57722,-0.14553,??,User:Steve,10/02/06,Northern,No (Escaltors to platform level),
Hillingdon,51.55364,-0.45062,Platform,User:Mattwestcott,28/01/07,"Metropolitan, Piccadilly",,
Holborn,51.51711,-0.12055,Entrance,User:Mattwestcott,27/01/07,"Central, Piccadilly",Unsure,
Holland Park,51.50722,-0.20553,Entrance,User:Mattwestcott,27/01/07,Central,,
Holloway Road,51.5529,-0.11278,Entrance,User:Morwen,2007-05-13,Piccadilly,,
Homerton,51.5471,-0.04323,mainline platforms,Morwen,07/03/07,,,
Hornchurch,51.55387,0.21797,platforms,User:Morwen,21/04/07,District,,
Hounslow Central,51.47129,-0.365853,Platform,User:Gagravarr,24/11/06,Piccadilly,,
Hounslow East,51.47354,-0.356,Platform,User:Gagravarr,24/11/06,Piccadilly,,
Hounslow West,51.473689,-0.386471,Platform (North End),User:Gagravarr,24/11/06,Piccadilly,Lift for wheelchair users only.,
Hyde Park Corner,51.50313,-0.15278,at main entrance (on northern side of roundabout),User:Morwen,01/05/07,Piccadilly,,
Ickenham,51.56147,-0.44257,Platform,User:Mattwestcott,28/01/07,"Metropolitan, Piccadilly",,
Kennington,51.48823,-0.10587,Entrance,User:Parsingphase,-2006,Northern,,
Kensal Green,51.53060655,-0.224253545,Platform,User:Firefishy,05/05/07,Bakerloo,,
Kensal Rise,51.53387,-0.22145,London Overground platforms,User:Morwen,05/05/07,London Overground,,
Kensington (Olympia),51.49675,-0.20931,platforms,User:Morwen,09/05/07,District,Yes ( Seem to recall it's a flat access from one side of the concourse),
Kentish Town,51.55046,-0.14067,entrance,User:Morwen,08/06/07,Northern,No ( Escalators to platform level),
Kentish Town West,51.54776,-0.14708,London Overground platforms,User:Morwen,05/05/07,London Overground,,
Kenton,51.58173809,-0.316870809,Platform,User:Firefishy,05/05/07,Bakerloo,,
Kew Gardens,51.47725641,-0.284980014,Platform,User:Firefishy,08/05/07,District,,
Kilburn,51.5471715,-0.205002,Platform,User:Gagravarr,10/10/06,Jubilee,,
Kilburn Park,51.53495818,-0.193963023,Entrance,User:Firefishy,05/05/07,Bakerloo,No (Escalators to platform level),
King's Cross St.Pancras,51.53057,-0.12399,between King's Cross exit and main tube entrance,User:Morwen,05/05/07,"Piccadilly, Circle, Victoria, Northern, Metropolitan, Hammersmith & City",Unsure (Escaltors to deep level platforms),
King's Cross Thameslink,51.5308,-0.12044,Pentonville Road exit,User:Morwen,05/05/07,Thameslink,Unsure (Complex as a whole had steps),
Kingsbury,51.58422,-0.2788,Platform,User:Mattwestcott,06/05/07,Jubilee,,
Knightsbridge,51.50169,-0.1603,Between Sloane Street and Knightsbridge entrances,User:Morwen,01/05/07,Piccadilly,,
Ladbroke Grove,51.5173,-0.21114,Platform,User:Gagravarr,07/04/07,Hammersmith & City,No (Steps to platform level),
Lambeth North,51.49894,-0.11216,Entrance,User:Mattwestcott,31/07/07,Bakerloo,,
Lancaster Gate,51.512083,-0.175067,Entrance,User:Gagravarr,14/05/07,Central,,
Latimer Road,51.513125,-0.218428,Platform,User:Gagravarr,07/04/07,Hammersmith & City,,
Leicester Square,51.51148,-0.12849,??,User:Steve,10/02/06,"Northern, Piccadilly",,
Leyton,51.556483,-0.005669,Entrance,User:Firefishy,21/10/06,Central,,
Leytonstone,51.56828,0.00739,Entrance,User:Parsingphase,-2006,Central,,
Liverpool Street,51.517675,-0.082458,??,User:Gagravarr,05/08/06,Central,,
London Bridge,51.505353,-0.084826,Mainline Through Platforms,User:Gagravarr,18/11/06,"Jubilee, Northern",,
Loughton,51.6417,0.05583,platforms,User:Morwen,21/04/07,Central,,
Maida Vale,51.52989409,-0.185888819,Entrance,User:Firefishy,05/05/07,Bakerloo,,
Manor House,51.57038,-0.09601,on top of ticket hall,User:Morwen,29/04/07,Piccadilly,,
Mansion House,51.51256,-0.09397,Queen Victoria Street entrance,User:Mattwestcott,18/05/07,"Circle, District",,
Marble Arch,51.513597,-0.15869195,Entrance,User:Gagravarr,12/08/06,Central,,
Marylebone,51.52266,-0.162996,Entrance,User:Gagravarr,24/11/06,Bakerloo,No (Escalators to platform level),
Mile End,51.525306,-0.033471,Entrance,User:Gagravarr,18/11/06,"Central, District, Hammersmith & City",Unusure,
Mill Hill East,51.60892,-0.20965,Entrance,User:Morwen,02/06/07,Northern,,
Monument,51.510165,-0.085991,Entrance on Monument Street,User:Ksbrown,13/04/07,"Circle, District",,
Moor Park,51.62970512,-0.432070848,Platform,User:Firefishy,05/05/07,Metropolitan,No ( Steps to/from Platform level),
Moorgate,51.51817,-0.08859,By Moorfields entrance,User:Morwen,2007-05-13,"Northern, Circle, Hammersmith & City, Metropolitan, Northern City, Thameslink",No (Steps to 'surface' lines and escaltors to Deep),
Morden,51.40222413,-0.194599126,Entrance,User:Firefishy,07/05/07,Northern,,
Mornington Crescent,51.53427,-0.13901,??,User:Steve,11/02/06,Northern,,
Neasden,51.55427,-0.25042,Platform,User:Mattwestcott,06/05/07,Jubilee,No (Steps to/from platform level),
New Cross,51.477363,-0.0338817,Mainline platform,User:Mattwestcott,04/11/06,East London,,
New Cross Gate,51.47585,-0.04049,ELL platform,User:Morwen,07/05/07,East London,,
Newbury Park,51.57565,0.08927,platforms,User:Morwen,21/04/07,Central,,
North Acton,51.5237,-0.26019,Platform,User:Mattwestcott,27/01/07,Central,,
North Ealing,51.51807,-0.28838,Platform,User:Mattwestcott,28/01/07,Piccadilly,,
North Greenwich,51.50056,0.0036,Dome entrance,User:Mattwestcott,31/07/07,Jubilee,Unsure ( JLE was built as step free?),
North Harrow,51.58503612,-0.362595264,Platform,User:Firefishy,05/05/07,Metropolitan,,
North Wembley,51.56258091,-0.304072648,Platform,User:Firefishy,05/05/07,Bakerloo,,
Northfields,51.499856,-0.313188,Platform,User:Gagravarr,24/11/06,Piccadilly,,
Northolt,51.548054,-0.368257,Entrance,User:Firefishy,21/10/06,Central,,
Northolt,51.548467,-0.36968,Platform,User:Firefishy,21/10/06,Central,,
Northwick Park,51.57850117,-0.317857023,Platform,User:Firefishy,05/05/07,Metropolitan,,
Northwood,51.61098984,-0.423584422,Platform,User:Firefishy,05/05/07,Metropolitan,No ( Steps to/from platform level),
Northwood Hills,51.60043795,-0.408812575,Platform,User:Firefishy,05/05/07,Metropolitan,,
Notting Hill Gate,51.509028,-0.1962847,Entrance,User:Gagravarr,14/05/07,"Central, Circle, District",No ( Steps to 'surface' platforms),
Oakwood,51.64739,-0.13192,platforms,User:Morwen,02/05/07,Piccadilly,,
Old Street,51.52618,-0.08751,??,User:Steve,20/02/06,"Northern, Northern City",Unsure,
Osterley,51.481569,-0.35196,Platform,User:Gagravarr,24/11/06,Piccadilly,,
Oval,51.48214,-0.11284,Entrance,User:Parsingphase,-2006,Northern,,
Oxford Circus,51.51517,-0.14119,Argyle Street entrance,User:Mattwestcott,27/01/07,"Bakerloo, Central, Victoria",No (Escalators),
Paddington,51.5151846554,-0.17553880792,C/D Platform,User:Gagravarr,30/07/06,"Circle, District",No (Steps to platform level),
Paddington (H&C Line),51.519096707,-0.176968859,H+C Platform,User:Gagravarr,02/04/06,Hammersmith and City,Unsure ( Access via bridge from mainline concourse),
Park Royal,51.52671,-0.28417,Platform,User:Mattwestcott,28/01/07,Piccadilly,,
Parsons Green,51.47488,-0.20205,Platform,User:Mattwestcott,18/05/07,District,,
Perivale,51.536673,-0.32391,Platform,User:Firefishy,18/02/07,Central,,
Piccadilly Circus,51.51022,-0.13392,Trocadero / Shaftesbury Avenue entrance,User:Kake,2007-04-13,"Piccadilly, Bakerloo",No (Escalator to Platform level),
Pimlico,51.489081,-0.133037,Entrance,User:Gagravarr,24/11/06,Victoria,,
Pinner,51.59270271,-0.380539158,Platform,User:Firefishy,05/05/07,Metropolitan,,
Plaistow,51.53122,0.01659,platforms,User:Morwen,21/04/07,"District, Hammersmith & City",,
Preston Road,51.57229051,-0.295813875,Platform,User:Firefishy,05/05/07,Metropolitan,,
Putney Bridge,51.46868,-0.2088141,East bound platform,User:Randomjunk,30/11/06,District,,
Queen's Park,51.534179,-0.205257721,Platform,User:Firefishy,05/05/07,Bakerloo,,
Queensbury,51.59437,-0.28655,Platform,User:Mattwestcott,06/05/07,Jubilee,,
Queensway,51.510484,-0.18705,Entrance,User:Gagravarr,14/05/07,Central,,
Ravenscourt Park,51.49419,-0.2356,Platform,User:Gagravarr,24/11/06,District,,
Rayners Lane,51.57534,-0.3724,Platform,User:Mattwestcott,28/01/07,"Metropolitan, Piccadilly",No (Steps to/from Platform level),
Redbridge,51.57618,0.04542,Entrance,User:Firefishy,15/08/07,Central,,
Regent's Park,51.52344,-0.14713,??,User:Steve,11/02/06,Bakerloo,,
Richmond,51.46343247,-0.302033247,Entrance,User:Firefishy,08/05/07,District,,
Richmond,51.4632474,-0.300618047,Platform,User:Firefishy,08/05/07,District,,
Rickmansworth,51.64027898,-0.473521454,Platform,User:Firefishy,05/05/07,Metropolitan,Unsure ( Station has flat access to S/B but also has a subway),
Roding Valley,51.61691,0.04264,platforms,User:Morwen,21/04/07,Central,,
Rotherhithe,51.50089,-0.05211,Entrance,User:Mattwestcott,31/07/07,East London,,
Royal Oak,51.519383,-0.187785,Platform,User:Gagravarr,07/04/07,Hammersmith & City,,
Ruislip,51.57146,-0.42157,Platform,User:Mattwestcott,28/01/07,"Metropolitan, Piccadilly",,
Ruislip Gardens,51.560711,-0.410587,Platform,User:Firefishy,18/02/07,Central,,
Ruislip Manor,51.57349,-0.41185,Platform,User:Mattwestcott,28/01/07,"Metropolitan, Piccadilly",,
Russell Square,51.523243,-0.124336,Entrance,User:Gagravarr,06/04/07,Piccadilly,,
St.James's Park,51.49971,-0.13394,Broadway exit,User:Morwen,22/05/07,"Circle, District",,
Seven Sisters,51.58318,-0.07495,mainline platforms,Morwen,07/03/07,Victoria,,
Shadwell,51.51115,-0.05693,Tube Entrance,User:Firefishy,22/10/07,East London,,
Shepherd's Bush,51.50474,-0.21881,Old ticket hall,User:Mattwestcott,27/01/07,Central,,
Shepherd's Bush Market,51.506063,-0.226231,Platform,User:Gagravarr,07/04/07,Hammersmith & City,,
Sloane Square,51.49258474,-0.156090904,C/D Platform,User:Gagravarr,08/09/06,"Central, District",,
Snaresbrook,51.58002,0.02133,platforms,User:Morwen,21/04/07,Central,,
South Acton,51.49960784,-0.270187631,Platform,User:Firefishy,08/05/07,London Overground,,
South Ealing,51.500801,-0.307856,Platform,User:Gagravarr,24/11/06,Piccadilly,,
South Harrow,51.56461,-0.3521,Platform,User:Mattwestcott,28/01/07,Piccadilly,,
South Kensington,51.494066,-0.172791,C/D Platform,User:Gagravarr,24/11/06,"Circle, District, Piccadilly",Unsure (Steps from/to 'surface' platforms?).,
South Kenton,51.57044666,-0.308566354,Platform,User:Firefishy,05/05/07,Bakerloo,,
South Ruislip,51.556795,-0.398708,Platform,User:Firefishy,18/02/07,Central,,
South Wimbledon,51.41543048,-0.192262754,Entrance,User:Firefishy,07/05/07,Northern,,
South Woodford,51.59088,0.02726,platforms,User:Morwen,21/04/07,Central,,
Southfields,51.444941,-0.206466,Entrance,User:Randomjunk,02/12/06,District,,
Southgate,51.6324,-0.12765,entrance,User:Morwen,02/05/07,Piccadilly,,
Southwark,51.50384,-0.10478,Entrance,User:Kake,2007-04-19,Jubilee,,
St.John's Wood,51.53472,-0.17428,Entrance,User:Mattwestcott,31/07/07,Jubilee,No (Escalators),
St.Paul's,51.515285,-0.097598,Entrance,User:TomH,27/02/07,Central,,
Stamford Brook,51.494935,-0.24619,Platform,User:Gagravarr,24/11/06,District,,
Stanmore,51.61895,-0.30241,Platform,User:Mattwestcott,06/05/07,Jubilee,"Unsure ( I seem to recall a long flight of steps from street level to the cutting in which the platforms are.ShakespeareFan00�20:17, 3 July 2009 (UTC))",
